size,count,mean,std,min,p25,median,p75,max
10,10,0.2817664325910203,0.05489316023187394,0.16417383880560105,0.24512640878777683,0.2873265676898046,0.3339931192138328,0.34225896477534234
20,20,0.4077782779932022,0.0893144290401153,0.18616166710853577,0.36485421657562256,0.42614081501960754,0.4868525415658951,0.5045192837715149
50,50,0.44978004187345505,0.09305072055305795,0.19019225239753723,0.3959025591611862,0.478983536362648,0.5172034204006195,0.5776703953742981
75,75,0.4535990806420644,0.09451335974248189,0.15366612374782562,0.39256446063518524,0.47259536385536194,0.5278242826461792,0.5883995890617371
100,100,0.4530779644846916,0.09587767668035492,0.18358343839645386,0.3876955062150955,0.47133012115955353,0.5268339812755585,0.611441433429718
